time,S0,S1,S2,S3,S4,S5,S6,S7,startTime:,23:28:15:127
8913,228,803,25,37,347,257,1258,1254, ,
8939,239,725,27,22,327,265,1270,1319, ,
8965,238,653,30,30,318,276,1302,1365, ,
9012,213,637,16,33,286,237,1353,1488, ,
9038,169,664,47,33,289,220,1374,1593, ,
9063,188,664,29,36,255,250,1406,1595, ,
9088,235,692,53,2,250,237,1399,1619, ,
9113,235,711,67,0,240,256,1402,1630, ,
9139,255,759,36,32,254,220,1425,1633, ,
9164,300,787,82,4,229,233,1401,1647, ,
9190,281,832,35,26,228,218,1403,1644, ,
9215,265,868,56,21,227,205,1371,1631, ,
9240,310,895,56,38,211,152,1366,1618, ,
9272,289,956,89,14,204,195,1336,1625, ,
9297,348,955,43,24,205,201,1344,1598, ,
9322,329,1010,24,34,216,189,1328,1578, ,
9347,364,1033,42,8,205,201,1324,1596, ,
9372,376,1051,86,0,182,209,1306,1591, ,
9411,394,1046,27,51,206,214,1335,1600, ,
9437,388,1015,71,6,208,241,1341,1624, ,
9462,355,1014,14,27,209,212,1373,1636, ,
9487,325,990,19,25,238,206,1378,1663, ,
9513,349,973,48,41,225,241,1395,1679, ,
9539,333,957,8,55,233,219,1412,1703, ,
9565,313,955,88,4,235,232,1402,1728, ,
9590,286,950,44,25,242,205,1404,1725, ,
9615,299,976,16,38,238,199,1410,1708, ,
9640,311,965,4,55,240,205,1414,1688, ,
9665,354,974,22,60,230,226,1399,1640, ,
9690,325,1005,19,28,249,224,1374,1549, ,
9715,377,1017,62,26,231,257,1340,1499, ,
9740,343,1044,60,27,256,218,1334,1455, ,
9765,345,1060,31,51,247,223,1314,1414, ,
9812,401,1063,40,21,225,216,1289,1370, ,
9839,424,1054,81,10,212,250,1268,1381, ,
9865,374,1080,59,48,202,201,1290,1437, ,
9889,418,1047,65,9,219,242,1303,1452, ,
9915,375,1039,26,30,218,203,1294,1450, ,
9940,367,1038,41,37,222,192,1256,1414, ,
9966,385,1023,78,26,212,164,1227,1375, ,
9991,412,1023,97,6,184,186,1185,1340, ,
10017,378,1016,64,26,172,189,1196,1298, ,
10041,404,1018,70,34,181,193,1197,1283, ,
10067,377,1006,91,44,183,146,1177,1268, ,
10093,380,999,104,19,178,181,1137,1258, ,
10119,420,992,85,56,165,206,1152,1234, ,
10144,407,989,98,36,155,181,1129,1216, ,
10180,396,995,79,62,175,153,1123,1204, ,
10225,355,1003,74,55,173,215,1123,1244, ,
10249,465,997,119,20,154,206,1133,1264, ,
10275,332,1019,96,39,162,154,1251,1330, ,
10299,362,1033,81,56,168,196,1208,1341, ,
10325,392,1037,126,8,165,207,1184,1364, ,
10349,386,1024,111,7,123,143,1197,1405, ,
10377,335,1032,117,1,139,159,1163,1405, ,
10401,348,1045,125,1,119,156,1141,1308, ,
10427,297,1091,86,32,153,88,1180,1384, ,
10451,306,1096,90,27,129,115,1211,1408, ,
10477,296,1110,120,33,138,107,1152,1345, ,
10501,319,1108,157,12,120,104,1159,1389, ,
10527,358,1099,157,25,116,159,1199,1379, ,
10552,341,1083,223,16,150,161,1189,1297, ,
10577,353,1079,221,23,179,144,1273,1330, ,
10614,421,1122,252,26,179,201,1355,1415, ,
10641,452,1181,290,10,194,214,1397,1444, ,
10666,461,1251,320,40,234,174,1470,1469, ,
10692,480,1312,334,43,245,182,1504,1487, ,
10716,487,1339,367,45,258,202,1513,1486, ,
10742,479,1356,378,25,265,221,1487,1468, ,
10766,492,1294,350,25,310,251,1461,1434, ,
10792,435,1234,274,59,260,226,1435,1434, ,
10816,419,1148,316,19,264,229,1400,1429, ,
10842,407,1094,229,9,256,250,1356,1371, ,
10866,344,1053,180,43,269,208,1325,1308, ,
10892,333,1029,171,25,291,216,1272,1221, ,
10918,383,999,154,25,276,266,1206,1091, ,
10944,352,973,161,28,297,276,1131,1019, ,
10968,341,953,156,9,316,277,1084,885, ,
11015,331,908,128,22,365,295,1030,838, ,
11041,269,876,89,60,409,287,1041,822, ,
11065,309,822,71,31,406,333,1042,825, ,
11091,249,819,99,109,415,301,1072,879, ,
11115,274,746,75,17,417,351,1117,944, ,
11141,233,710,27,23,442,300,1178,999, ,
11165,227,660,67,23,418,326,1201,1065, ,
11192,247,629,51,19,405,348,1241,1137, ,
11217,219,629,8,41,405,319,1267,1157, ,
11242,211,623,40,12,400,312,1255,1172, ,
11267,206,642,28,29,399,322,1243,1156, ,
11293,180,653,63,10,369,289,1141,1043, ,
11317,203,643,25,23,347,279,1051,948, ,
11343,156,574,40,18,313,241,944,815, ,
11367,144,486,31,15,257,215,770,697, ,
11393,47,399,32,6,227,175,624,557, ,
11417,93,300,60,8,166,182,531,444, ,
11443,28,233,70,7,124,155,491,387, ,
11469,80,198,27,25,106,108,477,365, ,
11494,41,175,72,12,93,145,426,337, ,
11519,13,182,24,11,116,107,409,326, ,
11544,47,215,10,29,126,98,400,275, ,
11569,31,185,40,10,111,162,386,267, ,
11594,6,214,73,0,142,155,366,262, ,
11619,111,176,32,31,106,161,342,185, ,
11644,56,162,41,12,132,133,274,122, ,
11669,38,124,0,44,87,88,190,77, ,
11694,26,87,4,18,93,72,186,46, ,
11719,43,14,35,15,22,67,161,25, ,
